
product_name,model_number,price,page_yield,compatible_models,affiliate_url
HP 63 Black Ink Cartridge,F6U62AN,,190,HP ENVY 4520; HP DeskJet 2130; HP DeskJet 3630; HP OfficeJet 4650,https://www.amazon.com/s?k=F6U62AN&tag=easyproduc07b-20
HP 63 Tri-Color Ink Cartridge,F6U61AN,,165,HP ENVY 4520; HP DeskJet 2130; HP DeskJet 3630; HP OfficeJet 4650,https://www.amazon.com/s?k=F6U61AN&tag=easyproduc07b-20
HP 63XL Black Ink Cartridge,F6U64AN,,480,HP ENVY 4520; HP DeskJet 2130; HP DeskJet 3630; HP OfficeJet 4650,https://www.amazon.com/s?k=F6U64AN&tag=easyproduc07b-20
HP 63XL Tri-Color Ink Cartridge,F6U63AN,,330,HP ENVY 4520; HP DeskJet 2130; HP DeskJet 3630; HP OfficeJet 4650,https://www.amazon.com/s?k=F6U63AN&tag=easyproduc07b-20
HP 64 Black Ink Cartridge,N9J90AN,,200,HP ENVY Photo 6255; HP ENVY Photo 7155; HP ENVY Photo 7855; HP ENVY Inspire 7255e,https://www.amazon.com/s?k=N9J90AN&tag=easyproduc07b-20
HP 64 Tri-Color Ink Cartridge,N9J89AN,,165,HP ENVY Photo 6255; HP ENVY Photo 7155; HP ENVY Photo 7855; HP ENVY Inspire 7255e,https://www.amazon.com/s?k=N9J89AN&tag=easyproduc07b-20
HP 64XL Black Ink Cartridge,N9J92AN,,600,HP ENVY Photo 6255; HP ENVY Photo 7155; HP ENVY Photo 7855; HP ENVY Inspire 7255e,https://www.amazon.com/s?k=N9J92AN&tag=easyproduc07b-20
HP 64XL Tri-Color Ink Cartridge,N9J91AN,,415,HP ENVY Photo 6255; HP ENVY Photo 7155; HP ENVY Photo 7855; HP ENVY Inspire 7255e,https://www.amazon.com/s?k=N9J91AN&tag=easyproduc07b-20
HP 67 Black Ink Cartridge,3YM56AN,,120,HP DeskJet 1255; HP DeskJet 2700; HP DeskJet 4100; HP ENVY 6055e; HP ENVY 6455e,https://www.amazon.com/s?k=3YM56AN&tag=easyproduc07b-20
HP 67 Tri-Color Ink Cartridge,3YM55AN,,100,HP DeskJet 1255; HP DeskJet 2700; HP DeskJet 4100; HP ENVY 6055e; HP ENVY 6455e,https://www.amazon.com/s?k=3YM55AN&tag=easyproduc07b-20
HP 67XL Black Ink Cartridge,3YM57AN,,240,HP DeskJet 1255; HP DeskJet 2700; HP DeskJet 4100; HP ENVY 6055e; HP ENVY 6455e,https://www.amazon.com/s?k=3YM57AN&tag=easyproduc07b-20
HP 67XL Tri-Color Ink Cartridge,3YM58AN,,200,HP DeskJet 1255; HP DeskJet 2700; HP DeskJet 4100; HP ENVY 6055e; HP ENVY 6455e,https://www.amazon.com/s?k=3YM58AN&tag=easyproduc07b-20
HP 65 Black Ink Cartridge,N9K02AN,,120,HP DeskJet 2622; HP DeskJet 3755; HP DeskJet 2600; HP ENVY 5030,https://www.amazon.com/s?k=N9K02AN&tag=easyproduc07b-20
HP 65 Tri-Color Ink Cartridge,N9K01AN,,100,HP DeskJet 2622; HP DeskJet 3755; HP DeskJet 2600; HP ENVY 5030,https://www.amazon.com/s?k=N9K01AN&tag=easyproduc07b-20
HP 65XL Black Ink Cartridge,N9K04AN,,300,HP DeskJet 2622; HP DeskJet 3755; HP DeskJet 2600; HP ENVY 5030,https://www.amazon.com/s?k=N9K04AN&tag=easyproduc07b-20
HP 65XL Tri-Color Ink Cartridge,N9K03AN,,300,HP DeskJet 2622; HP DeskJet 3755; HP DeskJet 2600; HP ENVY 5030,https://www.amazon.com/s?k=N9K03AN&tag=easyproduc07b-20
HP 62 Black Ink Cartridge,C2P04AN,,200,HP ENVY 5540; HP ENVY 5640; HP ENVY 5660; HP OfficeJet 5740; HP OfficeJet 8040,https://www.amazon.com/s?k=C2P04AN&tag=easyproduc07b-20
HP 62 Tri-Color Ink Cartridge,C2P06AN,,165,HP ENVY 5540; HP ENVY 5640; HP ENVY 5660; HP OfficeJet 5740; HP OfficeJet 8040,https://www.amazon.com/s?k=C2P06AN&tag=easyproduc07b-20
HP 62XL Black Ink Cartridge,C2P07AN,,600,HP ENVY 5540; HP ENVY 5640; HP ENVY 5660; HP OfficeJet 5740; HP OfficeJet 8040,https://www.amazon.com/s?k=C2P07AN&tag=easyproduc07b-20
HP 62XL Tri-Color Ink Cartridge,C2P05AN,,415,HP ENVY 5540; HP ENVY 5640; HP ENVY 5660; HP OfficeJet 5740; HP OfficeJet 8040,https://www.amazon.com/s?k=C2P05AN&tag=easyproduc07b-20
HP 902 Black Ink Cartridge,T6M14AN,,300,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M14AN&tag=easyproduc07b-20
HP 902 Cyan Ink Cartridge,T6M02AN,,315,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M02AN&tag=easyproduc07b-20
HP 902 Magenta Ink Cartridge,T6M06AN,,315,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M06AN&tag=easyproduc07b-20
HP 902 Yellow Ink Cartridge,T6M10AN,,315,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M10AN&tag=easyproduc07b-20
HP 902XL Black Ink Cartridge,T6M14AN,,825,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M14AN&tag=easyproduc07b-20
HP 902XL Cyan Ink Cartridge,T6M03AN,,825,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M03AN&tag=easyproduc07b-20
HP 902XL Magenta Ink Cartridge,T6M07AN,,825,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M07AN&tag=easyproduc07b-20
HP 902XL Yellow Ink Cartridge,T6M11AN,,825,HP OfficeJet 6950; HP OfficeJet 6954; HP OfficeJet 6962; HP OfficeJet Pro 6968; HP OfficeJet Pro 6978,https://www.amazon.com/s?k=T6M11AN&tag=easyproduc07b-20
HP 910 Black Ink Cartridge,3YL80AN,,300,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL80AN&tag=easyproduc07b-20
HP 910 Cyan Ink Cartridge,3YL78AN,,315,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL78AN&tag=easyproduc07b-20
HP 910 Magenta Ink Cartridge,3YL77AN,,315,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL77AN&tag=easyproduc07b-20
HP 910 Yellow Ink Cartridge,3YL79AN,,315,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL79AN&tag=easyproduc07b-20
HP 910XL Black Ink Cartridge,3YL84AN,,825,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL84AN&tag=easyproduc07b-20
HP 910XL Cyan Ink Cartridge,3YL81AN,,825,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL81AN&tag=easyproduc07b-20
HP 910XL Magenta Ink Cartridge,3YL82AN,,825,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL82AN&tag=easyproduc07b-20
HP 910XL Yellow Ink Cartridge,3YL83AN,,825,HP OfficeJet Pro 8025; HP OfficeJet Pro 8035; HP OfficeJet 8028; HP OfficeJet Pro 8022; HP OfficeJet Pro 8025e,https://www.amazon.com/s?k=3YL83AN&tag=easyproduc07b-20
HP 952 Black Ink Cartridge,F6U15AN,,1000,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=F6U15AN&tag=easyproduc07b-20
HP 952 Cyan Ink Cartridge,F6U12AN,,700,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=F6U12AN&tag=easyproduc07b-20
HP 952 Magenta Ink Cartridge,F6U13AN,,700,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=F6U13AN&tag=easyproduc07b-20
HP 952 Yellow Ink Cartridge,F6U14AN,,700,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=F6U14AN&tag=easyproduc07b-20
HP 952XL Black Ink Cartridge,L0S70AN,,2000,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=L0S70AN&tag=easyproduc07b-20
HP 952XL Cyan Ink Cartridge,L0S61AN,,1600,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=L0S61AN&tag=easyproduc07b-20
HP 952XL Magenta Ink Cartridge,L0S62AN,,1600,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=L0S62AN&tag=easyproduc07b-20
HP 952XL Yellow Ink Cartridge,L0S63AN,,1600,HP OfficeJet Pro 7740; HP OfficeJet Pro 8210; HP OfficeJet Pro 8710; HP OfficeJet Pro 8720; HP OfficeJet Pro 8740,https://www.amazon.com/s?k=L0S63AN&tag=easyproduc07b-20
HP 950 Black Ink Cartridge,CN049AN,,1000,HP OfficeJet Pro 8100; HP OfficeJet Pro 8600; HP OfficeJet Pro 8610; HP OfficeJet Pro 8620; HP OfficeJet Pro 8630,https://www.amazon.com/s?k=CN049AN&tag=easyproduc07b-20
HP 950XL Black Ink Cartridge,CN045AN,,2300,HP OfficeJet Pro 8100; HP OfficeJet Pro 8600; HP OfficeJet Pro 8610; HP OfficeJet Pro 8620; HP OfficeJet Pro 8630,https://www.amazon.com/s?k=CN045AN&tag=easyproduc07b-20
